case_id,architecture,risk_after_change,disposition,technical_validity,money_profile,requested_refund,authority_maximum_configured_input,authority_maximum_enforced,expected_execution,condition_confirmation,transfer_owner,materiality,authority_state,governance_workflow,resulting_authority,enforceable_boundary,actual_execution,prediction_comparison,control_assertion,browser_validation,independent_classification,reason,anomaly,reproduction_notes
C001,SAME_LAYER_REAUTHORIZATION,LOW,RENEW,PASS,BELOW_LIMIT,200.00,250.00,500.00,ALLOW,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",ALLOW,MATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=RENEW; New authority maximum=$250.00; Technical validity=PASS; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C002,SAME_LAYER_REAUTHORIZATION,LOW,RENEW,PASS,BELOW_LIMIT,200.00,250.00,500.00,BLOCK,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",ALLOW,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=RENEW; New authority maximum=$250.00; Technical validity=PASS; Expected execution result=BLOCK; click Apply controls to JSON; click Run experiment.
C003,SAME_LAYER_REAUTHORIZATION,LOW,RENEW,PASS,ABOVE_LIMIT,600.00,250.00,500.00,ALLOW,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$600.00; Governance disposition=RENEW; New authority maximum=$250.00; Technical validity=PASS; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C004,SAME_LAYER_REAUTHORIZATION,LOW,RENEW,PASS,ABOVE_LIMIT,600.00,250.00,500.00,BLOCK,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$600.00; Governance disposition=RENEW; New authority maximum=$250.00; Technical validity=PASS; Expected execution result=BLOCK; click Apply controls to JSON; click Run experiment.
C005,SAME_LAYER_REAUTHORIZATION,LOW,RENEW,FAIL,BELOW_LIMIT,200.00,250.00,500.00,ALLOW,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=RENEW; New authority maximum=$250.00; Technical validity=FAIL; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C006,SAME_LAYER_REAUTHORIZATION,LOW,RENEW,FAIL,BELOW_LIMIT,200.00,250.00,500.00,BLOCK,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=RENEW; New authority maximum=$250.00; Technical validity=FAIL; Expected execution result=BLOCK; click Apply controls to JSON; click Run experiment.
C007,SAME_LAYER_REAUTHORIZATION,LOW,RENEW,FAIL,ABOVE_LIMIT,600.00,250.00,500.00,ALLOW,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$600.00; Governance disposition=RENEW; New authority maximum=$250.00; Technical validity=FAIL; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C008,SAME_LAYER_REAUTHORIZATION,LOW,RENEW,FAIL,ABOVE_LIMIT,600.00,250.00,500.00,BLOCK,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$600.00; Governance disposition=RENEW; New authority maximum=$250.00; Technical validity=FAIL; Expected execution result=BLOCK; click Apply controls to JSON; click Run experiment.
C009,SAME_LAYER_REAUTHORIZATION,LOW,NARROW,PASS,BELOW_LIMIT,200.00,250.00,500.00,ALLOW,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",ALLOW,MATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=NARROW; New authority maximum=$250.00; Technical validity=PASS; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C010,SAME_LAYER_REAUTHORIZATION,LOW,NARROW,PASS,BELOW_LIMIT,200.00,250.00,500.00,BLOCK,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",ALLOW,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=NARROW; New authority maximum=$250.00; Technical validity=PASS; Expected execution result=BLOCK; click Apply controls to JSON; click Run experiment.
