case_id,scenario,architecture,disposition,technical_validity,expected_result,current_risk,requested_amount,new_authority_max,condition_value,transfer_owner,materiality_result,decision_valid,decision_reason,authority_id,authority_version,authority_status,governed_field,governed_op,governed_threshold,execution_result,execution_reason,boundary_id,prediction_match,independent_classification,classification_reason,scenario_specific_extra,decision_owner,recommendation,note
RF-CORE-0,REFUND-V2,SAME_LAYER,RENEW,PASS,ALLOW,LOW,400,,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-CORE-1,REFUND-V2,SAME_LAYER,RENEW,PASS,ALLOW,LOW,500,,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-CORE-2,REFUND-V2,SAME_LAYER,RENEW,PASS,ALLOW,LOW,600,,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,BLOCK,Requested refund exceeds the current authorized maximum.,BOUNDARY-AUTH-REFUND-104,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-3,REFUND-V2,SAME_LAYER,RENEW,PASS,ALLOW,MEDIUM,400,,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,amountCents,LTE,50000,BLOCK,Requested customer risk is outside the current authority scope.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-4,REFUND-V2,SAME_LAYER,RENEW,PASS,ALLOW,MEDIUM,500,,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,amountCents,LTE,50000,BLOCK,Requested customer risk is outside the current authority scope.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-5,REFUND-V2,SAME_LAYER,RENEW,PASS,ALLOW,MEDIUM,600,,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,amountCents,LTE,50000,BLOCK,Requested refund exceeds the current authorized maximum. Requested customer risk is outside the current authority scope.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-6,REFUND-V2,SAME_LAYER,RENEW,PASS,ALLOW,HIGH,400,,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,amountCents,LTE,50000,BLOCK,Requested customer risk is outside the current authority scope.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-7,REFUND-V2,SAME_LAYER,RENEW,PASS,ALLOW,HIGH,600,,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,amountCents,LTE,50000,BLOCK,Requested refund exceeds the current authorized maximum. Requested customer risk is outside the current authority scope.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-8,REFUND-V2,SAME_LAYER,NARROW,PASS,ALLOW,LOW,400,300,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-CORE-9,REFUND-V2,SAME_LAYER,NARROW,PASS,ALLOW,LOW,500,300,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
